Country;Freq
CHINA;316
USA;198
ITALY;32
CANADA;28
GERMANY;28
SPAIN;28
UK;26
FRANCE;25
SOUTH KOREA;23
JAPAN;20
INDIA;18
AUSTRALIA;15
IRELAND;12
DENMARK;11
NEW ZEALAND;10
POLAND;10
SLOVAKIA;10
AUSTRIA;9
NETHERLANDS;9
SWEDEN;9
FINLAND;8
TURKEY;8
BRAZIL;7
CHILE;7
IRAN;7
MEXICO;7
SINGAPORE;7
GREECE;6
MALAYSIA;4
SAUDI ARABIA;4
SWITZERLAND;4
BELGIUM;3
ISRAEL;3
NEPAL;3
THAILAND;3
TUNISIA;3
CZECH REPUBLIC;2
NORWAY;2
PAKISTAN;2
RUSSIA;2
BANGLADESH;1
COLOMBIA;1
CYPRUS;1
ECUADOR;1
EGYPT;1
LITHUANIA;1
LUXEMBOURG;1
MOROCCO;1
NIGERIA;1
NORTH MACEDONIA;1
PORTUGAL;1
ROMANIA;1
SEYCHELLES;1
SOUTH AFRICA;1
TANZANIA;1
