 ;;;;
Paper;DOI;Total Citations;TC per Year;Normalized TC
SICHERER S, 2018, J ALLERGY CLIN IMMUNOL;10.1016/j.jaci.2017.11.003;895;111,88;13,29
ADAK A, 2019, CELL MOL LIFE SCI;10.1007/s00018-018-2943-4;378;54,00;7,78
GHOSH T, 2020, GUT;10.1136/gutjnl-2019-319654;348;58,00;13,55
VICH V A, 2020, NAT COMMUN;10.1038/s41467-019-14177-z;329;54,83;12,81
MALLICK H, 2021, PLOS COMPUT BIOL;10.1371/journal.pcbi.1009442;325;65,00;19,59
GARCIA-MANTRANA I, 2018, FRONT MICROBIOL;10.3389/fmicb.2018.00890;322;40,25;4,78
FORSTER S, 2019, NAT BIOTECHNOL;10.1038/s41587-018-0009-7;274;39,14;5,64
ROMANO S, 2021, NPJ PARKINSON'S DIS;10.1038/s41531-021-00156-z;249;49,80;15,01
REYMAN M, 2019, NAT COMMUN;10.1038/s41467-019-13014-7;189;27,00;3,89
ZHANG X, 2018, NAT COMMUN;10.1038/s41467-018-05357-4;156;19,50;2,32
