Words;Occurrences
gut microbiota;172
gut microbiome;119
microbiome;84
microbiota;57
bioinformatics;40
inflammation;27
obesity;26
16s rrna;25
metagenomics;25
colorectal cancer;22
diet;22
dysbiosis;21
metabolomics;21
16s rrna gene sequencing;17
short-chain fatty acids;17
probiotics;16
16s rrna gene;15
machine learning;13
intestinal microbiota;12
metabolism;12
metagenome;12
biomarker;11
gastrointestinal microbiome;11
human gut microbiome;11
humans;11
inflammatory bowel disease;11
metabolites;11
16s rrna sequencing;10
metaproteomics;10
ulcerative colitis;10
diversity;9
gut;9
gut-brain axis;9
gut dysbiosis;9
helicobacter pylori;9
meta-analysis;9
metabolome;9
bacteroides;8
bile acids;8
gastric cancer;8
nutrition;8
prebiotics;8
antibiotic resistance;7
antibiotics;7
biomarkers;7
children;7
covid-19;7
fecal microbiota transplantation;7
type 2 diabetes;7
16s rdna;6
aging;6
bacteriophage;6
chronic kidney disease;6
diagnosis;6
human;6
hypertension;6
ibd;6
immune system;6
infants;6
intestinal flora;6
mass spectrometry;6
metagenomic sequencing;6
oral microbiome;6
rheumatoid arthritis;6
software;6
bacteria;5
bifidobacterium;5
colitis;5
diabetes;5
escherichia coli;5
genetics;5
high-throughput sequencing;5
irritable bowel syndrome;5
metabolic syndrome;5
microbial diversity;5
microbial metabolites;5
multiple sclerosis;5
mycobiome;5
pregnancy;5
probiotic;5
prognosis;5
proteomics;5
virome;5
bacteriophages;4
breast cancer;4
cancer;4
computational biology;4
crohn’s disease;4
deep learning;4
diarrhea;4
fungi;4
gut bacteria;4
gut microbes;4
human microbiome;4
mediterranean diet;4
metatranscriptomics;4
multi-omics;4
nafld;4
next generation sequencing;4
oxidative stress;4
personalized medicine;4
prebiotic;4
sars-cov-2;4
systems biology;4
16s;3
16s rdna amplicon sequencing;3
akkermansia muciniphila;3
alcohol use disorder;3
alzheimer’s disease;3
ankylosing spondylitis;3
artificial intelligence;3
autism spectrum disorder;3
autoimmune disease;3
bacterial community;3
bifidobacterium longum;3
chemotherapy;3
cytokines;3
depression;3
diabetes mellitus;3
diagnostic model;3
disease;3
drug discovery;3
enterococcus;3
environment;3
epilepsy;3
eradication;3
ethnicity;3
faecalibacterium;3
faecalibacterium prausnitzii;3
feces;3
gastric microbiome;3
gastric microbiota;3
genomics;3
gut-liver axis;3
gut virome;3
hepatocellular carcinoma;3
high-fat diet;3
hiv;3
human health;3
infant;3
intestinal microbiome;3
inulin;3
lactobacillus;3
leaky gut;3
liver disease;3
metagenome-assembled genome;3
metagenomic;3
metagenomic analysis;3
metagenomics sequencing;3
microbial ecology;3
microbiology;3
mucosa;3
next-generation sequencing;3
periodontitis;3
phage;3
phage therapy;3
phylogeny;3
polyphenols;3
preeclampsia;3
preterm birth;3
sequencing;3
skin microbiome;3
small intestine;3
systematic review;3
traditional chinese medicine;3
tuberculosis;3
tumor microenvironment;3
type 1 diabetes;3
virulence;3
16s rdna sequence;2
acute pancreatitis;2
adolescents;2
advanced colorectal adenoma;2
alcohol;2
alpha diversity;2
alzheimer's disease;2
antimicrobial activity;2
antimicrobial resistance gene;2
archaea;2
arsenic;2
athletic performance;2
atopic dermatitis;2
attention-deficit/hyperactivity disorder;2
autism;2
autism spectrum disorders;2
autoimmunity;2
bacterial diversity;2
bacteriome;2
bariatric surgery;2
beneficial bacteria;2
berberine;2
beta diversity;2
bifidobacteria;2
big data;2
biobank;2
bioinformatics pipeline;2
bipolar disorder;2
blastocystis;2
brain;2
breast-feeding;2
breastfeeding;2
canine;2
capecitabine;2
carbohydrate;2
carcinogenesis;2
