 ;;;;;;;;;;
Year;GUT MICROBIOTA;GUT MICROBIOME;MICROBIOME;MICROBIOTA;BIOINFORMATICS;INFLAMMATION;OBESITY;16S RRNA;METAGENOMICS;COLORECTAL CANCER
2012;0;0;0;0;0;0;0;0;0;0
2013;0;0;0;0;0;0;0;0;0;0
2014;0;0;0;0;0;0;0;0;0;0
2015;0;0;0;0;0;0;0;0;0;0
2016;0;0;0;1;0;0;0;0;0;0
2017;0;0;0;1;0;0;0;0;0;0
2018;4;7;5;7;3;0;0;1;4;2
2019;20;19;16;15;9;5;2;3;12;3
2020;45;38;35;29;19;10;5;8;17;10
2021;86;61;55;44;26;16;16;13;19;13
2022;138;97;71;53;34;26;24;21;24;17
2023;172;119;84;57;40;27;26;25;25;22
