 ;;;;
Term;Frequency;Year (Q1);Year (Median);Year (Q3)
humans;11;2014;2015;2020
software;6;2015;2018;2022
rheumatoid arthritis;6;2019;2019;2020
microbial diversity;5;2019;2019;2021
microbiota;57;2019;2020;2021
metagenomics;25;2019;2020;2021
dysbiosis;21;2020;2020;2022
gut microbiome;119;2020;2021;2022
microbiome;84;2020;2021;2022
bioinformatics;40;2020;2021;2022
gut microbiota;172;2020;2022;2022
intestinal microbiota;12;2021;2022;2023
gastrointestinal microbiome;11;2020;2022;2022
mycobiome;5;2022;2023;2023
