From;To;Frequency
AUSTRIA;NIGERIA;1
BRAZIL;SINGAPORE;1
CHINA;CANADA;1
CHINA;FRANCE;1
CHINA;IRAN;1
CHINA;SPAIN;1
CHINA;SWEDEN;1
CHINA;TURKEY;1
CHINA;UNITED KINGDOM;1
CHINA;USA;5
DENMARK;SWEDEN;1
FRANCE;NORWAY;1
FRANCE;SAUDI ARABIA;1
FRANCE;SWEDEN;1
FRANCE;TURKEY;1
GERMANY;AUSTRALIA;1
GERMANY;DENMARK;1
GERMANY;KOREA;1
GERMANY;SWITZERLAND;1
GREECE;TUNISIA;1
ITALY;AUSTRIA;1
ITALY;DENMARK;1
ITALY;GERMANY;1
JAPAN;NEW ZEALAND;1
JAPAN;SINGAPORE;1
KOREA;SWITZERLAND;1
MACEDONIA;NORTH MACEDONIA;1
NEW ZEALAND;SINGAPORE;1
SAUDI ARABIA;NORWAY;1
SPAIN;FINLAND;1
SPAIN;IRAN;1
SPAIN;SWEDEN;1
SWEDEN;TURKEY;1
UNITED KINGDOM;FRANCE;1
UNITED KINGDOM;SWEDEN;1
UNITED KINGDOM;TURKEY;1
USA;CANADA;3
USA;FRANCE;1
USA;IRAN;1
USA;NEPAL;1
USA;SPAIN;1
USA;SWEDEN;1
USA;TURKEY;1
USA;UNITED KINGDOM;1
