 ;;;;
SO;Rank;Freq;cumFreq;Zone
FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY;1;71;71;Zone 1
GUT MICROBES;2;62;133;Zone 1
FRONTIERS IN MICROBIOLOGY;3;41;174;Zone 1
MICROBIOME;4;36;210;Zone 1
FRONTIERS IN IMMUNOLOGY;5;26;236;Zone 1
NUTRIENTS;6;19;255;Zone 1
SCIENTIFIC REPORTS;7;16;271;Zone 1
INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES;8;15;286;Zone 2
PLOS ONE;9;15;301;Zone 2
NATURE COMMUNICATIONS;10;14;315;Zone 2
MICROBIOLOGY SPECTRUM;11;11;326;Zone 2
PLOS COMPUTATIONAL BIOLOGY;12;8;334;Zone 2
EBIOMEDICINE;13;6;340;Zone 2
CELLS;14;5;345;Zone 2
MBIO;15;5;350;Zone 2
MEDICINE (UNITED STATES);16;5;355;Zone 2
BIOENGINEERED;17;4;359;Zone 2
BMC MICROBIOLOGY;18;4;363;Zone 2
COMPUTATIONAL AND MATHEMATICAL METHODS IN MEDICINE;19;4;367;Zone 2
DIGESTIVE DISEASES AND SCIENCES;20;4;371;Zone 2
GENOME MEDICINE;21;4;375;Zone 2
IEEE/ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS;22;4;379;Zone 2
MICROBIAL PATHOGENESIS;23;4;383;Zone 2
NUCLEIC ACIDS RESEARCH;24;4;387;Zone 2
PEERJ;25;4;391;Zone 2
PHARMACOLOGICAL RESEARCH;26;4;395;Zone 2
PLOS NEGLECTED TROPICAL DISEASES;27;4;399;Zone 2
WORLD JOURNAL OF GASTROENTEROLOGY;28;4;403;Zone 2
AMERICAN JOURNAL OF CLINICAL NUTRITION;29;3;406;Zone 2
BIOMEDICINE AND PHARMACOTHERAPY;30;3;409;Zone 2
BMC BIOINFORMATICS;31;3;412;Zone 2
BMC GENOMICS;32;3;415;Zone 2
CURRENT MICROBIOLOGY;33;3;418;Zone 2
ELIFE;34;3;421;Zone 2
FOOD CHEMISTRY;35;3;424;Zone 2
FRONTIERS IN ONCOLOGY;36;3;427;Zone 2
GASTROENTEROLOGY;37;3;430;Zone 2
GENES;38;3;433;Zone 2
GENOME BIOLOGY;39;3;436;Zone 2
GUT;40;3;439;Zone 2
JOURNAL OF ALZHEIMER'S DISEASE;41;3;442;Zone 2
JOURNAL OF BIOLOGICAL CHEMISTRY;42;3;445;Zone 2
JOURNAL OF MEDICAL MICROBIOLOGY;43;3;448;Zone 2
JOURNAL OF PROTEOME RESEARCH;44;3;451;Zone 2
METABOLITES;45;3;454;Zone 2
METHODS IN MOLECULAR BIOLOGY;46;3;457;Zone 2
MICROBIAL GENOMICS;47;3;460;Zone 2
NPJ BIOFILMS AND MICROBIOMES;48;3;463;Zone 2
PROBIOTICS AND ANTIMICROBIAL PROTEINS;49;3;466;Zone 2
VIRUSES;50;3;469;Zone 2
AMB EXPRESS;51;2;471;Zone 2
ANIMALS;52;2;473;Zone 2
APPLIED AND ENVIRONMENTAL MICROBIOLOGY;53;2;475;Zone 2
ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION;54;2;477;Zone 2
BENEFICIAL MICROBES;55;2;479;Zone 2
BIOINFORMATICS;56;2;481;Zone 2
BIOINFORMATICS (OXFORD, ENGLAND);57;2;483;Zone 2
BIOMED RESEARCH INTERNATIONAL;58;2;485;Zone 2
BIOMOLECULES;59;2;487;Zone 2
BMC NEPHROLOGY;60;2;489;Zone 2
BRAIN AND BEHAVIOR;61;2;491;Zone 2
BRITISH JOURNAL OF PHARMACOLOGY;62;2;493;Zone 2
CANCERS;63;2;495;Zone 2
CHEMOSPHERE;64;2;497;Zone 2
CHINESE MEDICAL JOURNAL;65;2;499;Zone 2
COMMUNICATIONS BIOLOGY;66;2;501;Zone 2
COMPUTATIONAL AND STRUCTURAL BIOTECHNOLOGY JOURNAL;67;2;503;Zone 2
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY;68;2;505;Zone 2
