Source;h_index;g_index;m_index;TC;NP;PY_start
MICROBIOME;17;29;2,125;882;36;2018
FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY;16;26;2;831;71;2018
GUT MICROBES;15;27;1,875;830;62;2018
NATURE COMMUNICATIONS;13;14;1,625;1367;14;2018
FRONTIERS IN IMMUNOLOGY;12;17;1,714;312;26;2019
FRONTIERS IN MICROBIOLOGY;12;28;1,5;807;41;2018
NUTRIENTS;10;16;1,25;271;19;2018
INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES;9;15;1,125;333;15;2018
PLOS ONE;8;15;0,889;299;15;2017
SCIENTIFIC REPORTS;8;15;1;252;16;2018
