Authors;Articles;Articles Fractionalized
WANG Y;40;5,25
LI Y;37;3,96
LIU Y;31;3,4
ZHANG Y;26;2,67
LI X;24;2,37
ZHANG X;23;3,26
LI J;22;2,68
ZHANG J;22;2,82
CHEN Y;21;2,41
WANG H;21;2,21
WANG X;21;2,4
LIU X;20;2,06
ZHANG H;19;2,17
LI S;18;2,09
WANG J;16;1,63
ZHOU Y;15;2,02
CHEN J;14;1,35
LIU J;14;1,41
YANG Y;14;1,77
ZHAO J;14;1,64
CHEN L;13;1,59
CHEN X;13;1,45
LI L;13;1,58
WANG Z;13;1,32
ZHANG S;13;1,99
ZHANG Z;13;1,56
LIU C;12;1,29
ZHANG L;12;1,1
HU Y;11;1,28
LI H;11;1,39
WANG S;11;1,36
XU J;11;1,34
YANG J;11;1,42
ZHANG Q;11;1,08
ZHANG W;11;1,15
ZHAO X;11;1,33
CHEN S;10;1,3
CHEN W;10;1,08
CHEN Z;10;0,91
WANG C;10;1,07
WU J;10;1,02
BRIGIDI P;9;0,86
KIM J;9;1,05
LI W;9;1,14
LIU H;9;1,31
MA X;9;0,85
SUN X;9;0,92
TURRONI S;9;0,86
XU X;9;0,79
CHEN M;8;0,73
FIGEYS D;8;1,42
HU J;8;0,64
KNIGHT R;8;0,58
LI M;8;0,9
NING Z;8;1,03
WANG L;8;1,08
WANG T;8;1,49
WU X;8;0,83
WU Z;8;0,79
XU Y;8;0,84
YANG C;8;1,19
ZHANG T;8;0,92
ZHU Y;8;0,91
CHEN R;7;1,32
GUO Y;7;0,88
HUANG J;7;0,71
HUANG S;7;0,79
LIU L;7;0,59
LIU S;7;1,19
LIU W;7;0,79
LIU Z;7;1,11
PARK J;7;0,73
SUN H;7;0,84
ZHOU J;7;0,72
ZHU J;7;0,97
CHEN H;6;0,71
HUANG Y;6;0,67
JIANG Y;6;0,84
KIM Y;6;0,67
LEE S;6;0,61
LI C;6;0,64
LI F;6;0,7
LI G;6;0,74
LI N;6;0,43
LI T;6;0,53
LI Z;6;0,58
LIU F;6;0,5
LU Y;6;0,8
MAYNE J;6;0,78
QIN Y;6;1,52
RAMPELLI S;6;0,64
SHI Y;6;0,52
SONG Y;6;1
WANG M;6;0,54
WANG Q;6;0,63
WANG W;6;0,7
WU D;6;0,69
WU W;6;0,68
WU Y;6;0,7
XIAO Y;6;0,61
YAN C;6;0,63
YANG L;6;0,53
YANG R;6;0,46
YANG X;6;0,59
YU H;6;0,83
YU J;6;0,67
YU Z;6;0,78
ZENG Y;6;0,65
ZHAO L;6;0,65
ZHAO Y;6;0,92
ZHENG Y;6;0,49
ZHU W;6;0,72
CHEN C;5;0,71
CHEN T;5;0,73
CHENG K;5;0,61
GAO X;5;0,58
GUO M;5;0,45
GUO X;5;0,42
HE J;5;0,49
HE Y;5;0,5
HILL C;5;0,56
HU X;5;0,5
HUANG L;5;0,51
LEE Y;5;0,52
LI Q;5;0,88
LIN J;5;0,81
LIU B;5;0,5
LU S;5;0,64
LU X;5;0,44
MA Y;5;0,38
SHEN Y;5;0,51
SHI H;5;0,73
SUN Y;5;0,41
SUN Z;5;0,68
TAN Y;5;0,52
WU C;5;0,57
XU K;5;0,65
XU Z;5;1,36
YANG F;5;0,79
YANG H;5;0,38
YANG Z;5;0,49
ZHANG C;5;0,46
ZHANG F;5;0,61
ZHAO H;5;0,78
ZHU H;5;0,74
ZHU S;5;0,73
ZHU X;5;0,51
BIAGI E;4;0,46
CANDELA M;4;0,39
CHEN B;4;0,46
CHEN F;4;0,38
CHEN Q;4;0,38
DENG L;4;0,62
DENG Y;4;0,46
DONG S;4;0,56
HAN J;4;0,36
HE C;4;0,31
HE L;4;0,42
HE X;4;0,35
HE Z;4;0,43
HUANG X;4;0,36
HUANG Z;4;0,42
JIANG H;4;0,52
JIANG L;4;0,45
JIANG X;4;0,4
KIM C;4;0,98
KIM H;4;0,25
LEE C;4;0,45
LEE J;4;0,57
LI D;4;0,4
LI P;4;0,52
LI R;4;0,66
LIN X;4;0,25
LIN Y;4;0,49
LIN Z;4;0,39
LIU T;4;0,36
LU J;4;0,39
LU L;4;0,37
LU W;4;0,34
MA J;4;0,68
MA L;4;0,41
MA S;4;0,45
NG S;4;0,43
NI Y;4;1,38
