 ;;;;
Author;year;freq;TC;TCpY
CHEN Y;2018;2;42;5,25
CHEN Y;2019;4;101;14,429
CHEN Y;2020;3;92;15,333
CHEN Y;2021;4;81;16,2
CHEN Y;2022;6;16;4
CHEN Y;2023;2;3;1
LI J;2018;1;156;19,5
LI J;2019;3;205;29,286
LI J;2021;2;12;2,4
LI J;2022;11;44;11
LI J;2023;5;8;2,667
LI X;2018;1;81;10,125
LI X;2019;4;48;6,857
LI X;2020;3;34;5,667
LI X;2021;5;53;10,6
LI X;2022;6;12;3
LI X;2023;5;8;2,667
LI Y;2018;3;172;21,5
LI Y;2020;5;112;18,667
LI Y;2021;8;80;16
LI Y;2022;12;53;13,25
LI Y;2023;9;8;2,667
LIU Y;2019;3;118;16,857
LIU Y;2020;5;125;20,833
LIU Y;2021;6;52;10,4
LIU Y;2022;11;73;18,25
LIU Y;2023;6;5;1,667
WANG H;2019;3;64;9,143
WANG H;2020;1;10;1,667
WANG H;2021;7;91;18,2
WANG H;2022;6;38;9,5
WANG H;2023;4;3;1
WANG Y;2018;2;115;14,375
WANG Y;2019;1;29;4,143
WANG Y;2020;3;77;12,833
WANG Y;2021;6;171;34,2
WANG Y;2022;18;67;16,75
WANG Y;2023;10;15;5
ZHANG J;2018;1;33;4,125
ZHANG J;2020;3;86;14,333
ZHANG J;2021;9;74;14,8
ZHANG J;2022;4;19;4,75
ZHANG J;2023;5;5;1,667
ZHANG X;2018;3;282;35,25
ZHANG X;2019;3;202;28,857
ZHANG X;2020;3;74;12,333
ZHANG X;2021;7;62;12,4
ZHANG X;2022;5;42;10,5
ZHANG X;2023;2;0;0
ZHANG Y;2018;1;101;12,625
ZHANG Y;2019;1;39;5,571
ZHANG Y;2020;7;148;24,667
ZHANG Y;2021;6;412;82,4
ZHANG Y;2022;4;19;4,75
ZHANG Y;2023;7;4;1,333
